caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-120,1946-120-01,1946-120-01-01,1946-120-01-01-01-08,6/16/47,1,331 U.S. 722,67 S. Ct. 1473,91 L. Ed. 1772,1947 U.S. LEXIS 2926,1946,1301,Vinson,562,"RUTHERFORD FOOD CORP. ET AL. v. McCOMB, WAGE AND HOUR ADMINISTRATOR",4/9/47,,151,,371,,1,,,0,72,20,30,,0,10,3,2,1,2,0,0,0,0,70040,7,2,0,4,,3,334,,79,87,1,9,0,82,FMurphy,1,1,2,2,,
1946-120,1946-120-01,1946-120-01-01,1946-120-01-01-01-09,6/16/47,1,331 U.S. 722,67 S. Ct. 1473,91 L. Ed. 1772,1947 U.S. LEXIS 2926,1946,1301,Vinson,562,"RUTHERFORD FOOD CORP. ET AL. v. McCOMB, WAGE AND HOUR ADMINISTRATOR",4/9/47,,151,,371,,1,,,0,72,20,30,,0,10,3,2,1,2,0,0,0,0,70040,7,2,0,4,,3,334,,79,87,1,9,0,87,FMVinson,1,1,2,2,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-01,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,87,FMVinson,2,1,1,1,79,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-02,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,78,HLBlack,1,1,2,2,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-03,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,79,SFReed,2,2,1,1,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-04,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,80,FFrankfurter,1,2,2,2,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-05,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,81,WODouglas,1,1,2,2,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-06,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,82,FMurphy,1,1,2,2,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-07,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,84,RHJackson,1,1,2,2,,
1946-121,1946-121-01,1946-121-01-01,1946-121-01-01-01-08,6/16/47,1,331 U.S. 731,67 S. Ct. 1440,91 L. Ed. 1779,1947 U.S. LEXIS 2896,1946,1301,Vinson,404,"MEXICAN LIGHT & POWER CO., LTD. v. TEXAS MEXICAN RAILWAY CO.",2/6/47,,123,,231,,1,,,0,302,51,300,51,0,10,3,1,1,2,0,0,0,0,80070,8,2,0,4,,6,600,49 U.S.C. ß 20,80,78,1,7,2,85,WBRutledge,1,1,2,2,,
