,Actual Vote of Justice 1,Actual Vote of Justice 2,Actual Vote of Justice 3,Actual Vote of Justice 4,Actual Vote of Justice 5,Actual Vote of Justice 6,Actual Vote of Justice 7,Actual Vote of Justice 8,Actual Vote of Justice 9,Actual Winning Party,Case IDs,Code for Justice 1,Code for Justice 2,Code for Justice 3,Code for Justice 4,Code for Justice 5,Code for Justice 6,Code for Justice 7,Code for Justice 8,Code for Justice 9,Prediction Vote of Justice 1,Prediction Vote of Justice 2,Prediction Vote of Justice 3,Prediction Vote of Justice 4,Prediction Vote of Justice 5,Prediction Vote of Justice 6,Prediction Vote of Justice 7,Prediction Vote of Justice 8,Prediction Vote of Justice 9,Prediction for Winning Party
431,[1],[1],[1],[1],[1],[2],[1],[1],[1],[1],1998015,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
432,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1990007,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,1
433,[1],[1],[1],[1],[1],[2],[2],[2],[2],[0],1946100,86,84,81,80,79,78,85,82,87,1,1,1,2,1,1,1,1,1,1
434,[1],[1],[1],[2],[2],[1],[1],[1],[1],[0],1946080,86,84,81,80,79,78,85,82,87,1,1,1,2,1,1,1,1,1,1
435,[1],[1],[4],[1],[1],[4],[1],[2],[1],[1],1991103,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,2,1,1
436,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],2002026,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
437,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1976036,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
438,[1],[1],[1],[1],[2],[1],[1],[2],[1],[0],1999057,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
439,[1],[2],[1],[1],[1],[1],[1],[1],[1],[1],1957012,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,1
440,[1],[2],[3],[2],[2],[1],[1],[1],[1],[1],2005052,106,107,108,109,110,111,112,103,105,1,2,1,1,2,1,1,1,1,0
441,[1],[1],[2],[2],[1],[1],[1],[1],[1],[1],1977089,94,98,92,95,99,100,101,102,103,1,1,2,2,1,1,1,1,1,1
442,[1],[1],[1],[1],[1],[2],[1],[1],[1],[0],1994027,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
443,[1],[1],[1],[2],[2],[1],[2],[1],[1],[1],1972075,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,2,1,1,1
444,[1],[1],[1],[1],[2],[3],[2],[2],[2],[1],1978062,94,98,92,95,99,100,101,102,103,1,1,2,1,1,1,1,2,1,1
445,[1],[1],[1],[2],[2],[1],[1],[1],[1],[0],1952052,88,86,84,81,80,79,78,87,89,1,1,1,2,2,1,1,1,1,0
446,[1],[2],[1],[1],[1],[2],[1],[2],[1],[1],1963138,81,94,92,95,90,88,96,91,78,1,2,1,1,1,2,1,2,1,1
447,[1],[1],[1],[1],[1],[1],[2],[2],[2],[1],1972185,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,1,1,1,1
448,[1],[1],[2],[1],[1],[1],[1],[1],[2],[1],1997026,106,107,108,109,110,102,103,104,105,1,1,2,1,1,1,1,1,2,1
449,[2],[2],[1],[1],[3],[1],[3],[1],[1],[1],1960028,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
450,[1],[2],[1],[1],[2],[1],[1],[1],[1],[0],2007052,107,108,109,110,112,111,103,105,106,1,1,2,1,1,1,1,1,1,1
451,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1993094,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
452,[1],[1],[1],[1],[3],[1],[1],[2],[1],[1],2004057,105,106,107,108,109,110,111,103,104,1,1,1,1,1,1,1,1,1,1
453,[2],[1],[2],[3],[1],[2],[1],[2],[1],[0],2007060,107,108,109,110,112,111,103,105,106,2,1,2,1,1,1,1,1,1,1
454,[1],[1],[1],[2],[1],[2],[2],[2],[1],[1],2001023,108,109,110,102,103,104,105,106,107,1,1,1,1,1,4,1,1,2,1
455,[1],[1],[2],[2],[1],[1],[2],[1],[3],[1],1985121,98,92,95,99,100,101,102,103,104,1,1,2,2,1,1,2,1,1,0
456,[1],[1],[1],[1],[3],[1],[1],[3],[1],[1],1978092,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
457,[1],[1],[1],[2],[2],[2],[1],[1],[1],[0],1996079,106,107,108,109,110,102,103,104,105,1,1,1,2,2,1,1,1,1,1
458,[1],[1],[1],[2],[2],[1],[2],[1],[1],[0],1996016,106,107,108,109,110,102,103,104,105,1,1,1,2,2,1,2,1,1,0
459,[1],[1],[1],[1],[1],[1],[4],[1],[1],[1],1965057,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
460,[1],[1],[1],[2],[2],[1],[1],[2],[1],[1],1960132,80,93,91,78,81,94,92,90,88,1,1,1,2,2,1,1,2,1,1
461,[3],[1],[1],[1],[2],[2],[1],[2],[1],[1],1979091,94,98,92,95,99,100,101,102,103,1,1,1,1,2,1,1,2,1,1
462,[1],[2],[2],[1],[1],[1],[1],[1],[1],[1],1973011,100,101,102,81,94,98,92,95,99,1,1,2,1,1,1,1,1,1,1
463,[1],[1],[1],[3],[3],[3],[3],[1],[1],[1],1958109,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
464,[1],[1],[1],[2],[1],[2],[2],[1],[1],[1],1972050,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1
465,[1],[1],[1],[4],[1],[1],[1],[1],[1],[1],1961012,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
466,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1984078,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
467,[1],[1],[1],[2],[1],[2],[1],[1],[1],[1],1972020,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,1,1,1,1
468,[4],[1],[1],[1],[1],[1],[1],[1],[1],[1],1969113,91,92,94,95,98,100,99,78,81,4,1,1,1,1,1,1,1,1,1
469,[2],[2],[2],[1],[1],[1],[1],[1],[2],[0],1979141,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
470,[1],[1],[1],[2],[1],[1],[1],[1],[2],[1],1974093,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
471,[1],[2],[1],[1],[1],[1],[1],[2],[1],[1],1986111,98,92,95,100,101,102,103,104,105,1,2,1,1,1,1,1,1,1,0
472,[1],[1],[1],[1],[1],[1],[2],[2],[1],[1],1986117,98,92,95,100,101,102,103,104,105,1,1,1,1,1,1,2,1,1,1
473,[1],[2],[1],[2],[1],[1],[1],[1],[1],[0],1976056,94,98,92,95,99,100,101,102,103,1,2,2,2,1,1,1,1,1,0
474,[1],[1],[1],[1],[1],[1],[1],[2],[2],[0],1963048,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
475,[1],[1],[1],[1],[1],[2],[1],[4],[2],[1],1967148,94,98,92,95,90,97,90,78,81,1,1,1,1,1,2,1,2,1,1
476,[1],[3],[4],[1],[1],[3],[1],[1],[1],[0],2006013,107,108,109,110,111,112,103,105,106,1,1,1,1,1,1,1,1,1,1
477,[2],[2],[2],[1],[1],[1],[2],[3],[1],[1],1980030,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,2,1,1,1
478,[1],[1],[1],[2],[2],[1],[1],[1],[1],[1],1948076,87,78,79,80,81,82,84,85,86,1,1,1,2,2,1,1,1,1,1
479,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1976096,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,2,1
480,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1992039,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,1
481,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1971028,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
482,[1],[1],[2],[1],[1],[1],[1],[1],[2],[0],1957017,93,86,91,78,81,92,90,88,80,1,1,2,1,1,1,1,1,2,1
483,[1],[2],[1],[1],[1],[1],[1],[1],[1],[1],1963095,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
484,[2],[1],[1],[1],[1],[4],[1],[1],[2],[1],2006063,108,109,110,111,112,103,105,106,107,1,1,1,1,1,1,1,1,1,1
485,[1],[2],[2],[2],[1],[1],[2],[2],[1],[1],2001084,108,109,110,102,103,104,105,106,107,2,1,1,2,1,1,2,2,1,1
486,[1],[1],[1],[4],[1],[4],[1],[2],[2],[1],1964027,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
487,[1],[3],[1],[2],[2],[2],[3],[2],[3],[0],1976040,94,98,92,95,99,100,101,102,103,1,4,2,1,2,2,1,2,1,1
488,[1],[1],[1],[1],[2],[1],[1],[4],[4],[1],1965006,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
489,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1974011,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
490,[1],[1],[2],[2],[1],[1],[1],[1],[1],[1],1978126,94,98,92,95,99,100,101,102,103,1,1,2,2,1,1,1,1,1,1
491,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983147,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
492,[1],[2],[1],[2],[1],[1],[1],[2],[1],[0],1957074,92,93,91,78,81,92,90,88,80,1,1,1,2,1,1,1,1,1,0
493,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1975139,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
494,[1],[4],[4],[1],[2],[1],[1],[1],[2],[0],2001027,108,109,110,102,103,104,105,106,107,1,1,1,1,2,1,1,1,2,0
495,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1987134,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
496,[1],[1],[1],[1],[1],[1],[2],[1],[2],[1],1991117,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,2,1,1
497,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1999064,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
498,[2],[2],[1],[1],[2],[1],[1],[1],[1],[0],1982121,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,1,1,1
499,[1],[1],[1],[1],[1],[1],[1],[1],[4],[0],1963085,81,94,92,95,90,88,96,90,78,1,1,1,1,1,1,1,1,1,1
500,[2],[2],[1],[1],[1],[1],[1],[1],[1],[0],1988144,98,92,95,100,102,103,104,105,106,2,2,1,1,1,1,1,1,1,1
501,[2],[2],[1],[2],[1],[2],[1],[1],[1],[1],1989011,98,92,95,100,102,103,104,105,106,2,2,1,1,1,1,1,1,1,0
502,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1982068,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
503,[2],[1],[2],[3],[1],[3],[1],[2],[2],[1],1966119,94,92,95,90,88,97,90,78,81,2,1,2,1,1,1,1,1,1,1
504,[1],[1],[1],[2],[2],[2],[2],[1],[1],[0],1973070,100,101,102,81,94,98,92,95,99,1,1,1,2,2,2,2,1,1,1
505,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1980062,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
506,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1991091,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,0
507,[4],[4],[4],[3],[1],[1],[3],[1],[4],[1],1975133,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
508,[1],[2],[4],[4],[1],[2],[2],[1],[2],[0],2010085,109,110,112,113,114,111,105,106,108,2,1,1,1,1,1,2,1,2,1
509,[4],[1],[1],[1],[1],[1],[1],[2],[4],[0],1963148,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,2,1,1
510,[1],[1],[1],[2],[2],[2],[1],[1],[1],[0],1951075,88,86,84,81,80,79,78,87,89,1,1,1,2,1,1,1,1,1,0
511,[2],[1],[1],[1],[2],[2],[2],[1],[1],[0],1946069,86,84,81,80,79,78,85,82,87,2,1,1,1,1,2,2,1,1,1
512,[4],[4],[1],[1],[1],[1],[1],[1],[1],[1],1991009,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,1
513,[1],[1],[1],[2],[1],[1],[2],[1],[1],[1],1952074,88,86,84,81,80,79,78,87,89,1,1,1,2,1,1,2,1,1,0
514,[4],[4],[1],[5],[4],[1],[1],[3],[1],[1],1970050,91,92,94,95,98,100,91,78,81,1,1,1,1,1,1,1,1,1,1
515,[2],[2],[1],[2],[2],[1],[1],[1],[2],[0],2014033,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,2,1
516,[1],[1],[3],[1],[1],[1],[1],[3],[2],[1],1963141,81,88,91,92,94,95,96,91,78,1,1,1,1,1,1,1,1,1,1
517,[1],[1],[4],[1],[1],[2],[4],[1],[1],[1],1989080,98,92,95,100,102,103,104,105,106,1,1,1,1,1,2,1,1,1,1
518,[2],[1],[1],[1],[3],[2],[1],[2],[3],[1],2002047,108,109,110,102,103,104,105,106,107,2,1,1,1,1,1,1,1,1,1
519,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1983169,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
520,[2],[1],[1],[2],[2],[1],[1],[1],[1],[0],1998025,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
521,[1],[1],[1],[1],[1],[2],[1],[1],[1],[1],1992105,105,106,107,108,109,100,102,103,104,1,1,1,1,1,2,1,1,1,1
522,[1],[2],[1],[1],[4],[1],[1],[1],[3],[1],1960049,80,93,91,78,81,94,92,90,88,2,1,1,1,1,1,1,1,1,1
523,[1],[1],[1],[1],[1],[1],[1],[2],[1],[0],1962075,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,2,1,1
524,[1],[1],[1],[1],[1],[4],[2],[1],[1],[1],2008031,107,108,109,110,112,111,103,105,106,1,1,1,1,1,1,2,1,1,0
525,[1],[1],[2],[1],[1],[2],[1],[2],[2],[0],1995046,106,107,108,109,110,102,103,104,105,1,1,2,1,1,1,2,1,1,0
526,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1996021,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
527,[2],[2],[5],[2],[1],[1],[2],[4],[1],[1],1986127,98,92,95,100,101,102,103,104,105,1,2,1,2,1,1,2,1,1,1
528,[2],[2],[4],[5],[1],[1],[2],[1],[1],[1],1953065,81,90,88,80,86,79,89,84,90,1,1,1,1,1,1,1,1,1,1
529,[1],[1],[1],[2],[2],[1],[1],[1],[1],[1],1958074,93,94,91,78,81,94,92,90,88,1,1,1,2,2,1,1,1,1,1
530,[1],[4],[2],[2],[1],[2],[2],[1],[1],[1],1973105,100,101,102,81,94,98,92,95,99,1,1,2,2,1,2,2,1,1,1
531,[1],[2],[3],[1],[1],[1],[1],[1],[1],[1],1979033,94,98,92,95,99,100,101,102,103,1,2,1,1,1,1,1,1,1,1
532,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1987155,102,92,95,98,100,103,104,105,106,1,1,1,1,1,1,1,1,1,1
533,[1],[3],[1],[1],[1],[1],[1],[2],[1],[1],1968038,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,1,2,1,1
534,[2],[2],[1],[2],[2],[1],[2],[1],[3],[0],2012037,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
535,[2],[2],[1],[1],[1],[1],[1],[2],[1],[1],1981146,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,0
536,[1],[2],[1],[2],[2],[1],[2],[1],[1],[0],1998052,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,1
537,[3],[2],[2],[1],[3],[3],[4],[1],[2],[0],2001005,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
538,[1],[1],[1],[1],[2],[1],[1],[1],[1],[0],1961007,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
539,[1],[1],[2],[1],[1],[2],[2],[2],[1],[1],1990061,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,0
540,[1],[1],[1],[1],[2],[2],[1],[1],[2],[0],1999066,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,0
541,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1995027,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
542,[1],[1],[1],[4],[1],[1],[1],[1],[1],[1],1970133,95,99,100,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
543,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1990064,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,0
544,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983116,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
545,[1],[1],[4],[1],[1],[4],[4],[4],[1],[1],1948109,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1
546,[4],[4],[4],[4],[4],[5],[4],[4],[3],[1],1977016,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
547,[1],[1],[1],[1],[1],[1],[1],[2],[1],[0],1984023,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,2,1,1
548,[1],[4],[2],[2],[1],[2],[1],[1],[1],[1],1991033,103,104,105,106,107,108,95,100,102,2,2,1,1,1,1,1,1,1,1
549,[1],[1],[4],[1],[1],[4],[1],[3],[1],[1],1969017,95,99,91,78,81,94,98,92,95,1,1,1,1,1,1,1,1,1,1
550,[1],[2],[2],[1],[2],[1],[2],[1],[1],[1],2009040,108,109,110,112,113,111,103,105,106,1,2,2,1,2,1,2,1,1,1
551,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2014051,105,106,108,109,110,112,113,114,111,1,1,1,1,1,1,1,1,1,1
552,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1977042,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
553,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1987042,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
554,[2],[1],[1],[4],[1],[1],[1],[1],[2],[1],2009034,108,109,110,112,113,111,103,105,106,2,1,1,1,1,1,1,1,1,1
555,[1],[1],[2],[1],[2],[2],[2],[1],[1],[1],1947037,86,84,81,80,79,78,85,82,87,2,2,1,2,1,1,1,1,1,1
556,[1],[1],[1],[1],[1],[1],[1],[1],[4],[1],1974054,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
557,[1],[1],[2],[2],[1],[1],[1],[1],[2],[0],1970108,94,98,92,95,99,100,91,78,81,1,1,1,1,1,1,1,1,1,0
558,[1],[2],[2],[1],[1],[1],[1],[1],[1],[1],1976053,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,1
559,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1957022,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,1
560,[1],[2],[1],[1],[1],[1],[2],[1],[1],[0],1955088,89,91,78,81,90,88,80,86,79,1,2,1,1,1,1,2,1,1,1
561,[2],[2],[1],[1],[1],[2],[1],[1],[1],[1],1988136,98,92,95,100,102,103,104,105,106,2,2,1,1,1,2,1,1,1,0
562,[1],[1],[2],[1],[1],[1],[1],[1],[1],[0],2014011,109,110,112,113,114,111,105,106,108,1,1,2,1,1,1,1,1,1,1
563,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1954021,86,79,89,78,81,90,88,80,86,1,1,1,1,1,1,1,1,1,1
564,[1],[1],[4],[1],[1],[1],[1],[1],[1],[0],1961011,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,0
565,[1],[2],[2],[1],[3],[2],[1],[1],[1],[1],1976122,94,98,92,95,99,100,101,102,103,1,2,2,1,1,2,1,1,1,1
566,[1],[1],[1],[1],[1],[1],[3],[1],[3],[0],1991092,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,0
567,[2],[1],[1],[1],[1],[1],[2],[1],[1],[1],1966078,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
568,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1994012,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,1
569,[1],[1],[1],[1],[1],[1],[1],[2],[4],[1],1967016,94,98,92,95,90,97,90,78,81,1,1,1,1,1,1,1,2,1,1
570,[4],[1],[2],[2],[2],[2],[4],[1],[1],[1],1960123,80,93,91,78,81,94,92,90,88,1,1,1,1,2,1,1,1,1,1
571,[1],[1],[2],[1],[2],[2],[2],[1],[1],[0],2000073,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
572,[4],[1],[1],[1],[1],[1],[2],[1],[1],[1],2009049,108,109,110,112,113,111,103,105,106,1,1,1,1,1,1,2,1,1,1
573,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1998024,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,2,1,1,1
574,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1964074,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
575,[2],[2],[1],[2],[1],[2],[5],[4],[1],[1],1989064,98,92,95,100,102,103,104,105,106,1,2,1,1,1,1,1,1,1,1
576,[1],[1],[2],[1],[1],[2],[2],[2],[1],[0],1948005,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,1,0
577,[1],[2],[1],[2],[2],[2],[1],[1],[1],[1],1989021,102,92,95,98,100,103,104,105,106,1,2,1,2,2,2,1,1,1,0
578,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1966002,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
579,[1],[1],[2],[1],[1],[2],[1],[1],[1],[0],1951070,78,79,80,81,84,86,88,89,89,1,1,2,1,1,2,1,1,1,0
580,[2],[4],[1],[1],[1],[1],[1],[4],[1],[1],1983073,98,92,95,99,100,101,102,103,104,2,1,1,1,1,1,1,1,1,1
581,[1],[1],[2],[1],[1],[1],[2],[1],[1],[1],1987067,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,2,1,1,0
582,[2],[2],[1],[1],[2],[1],[1],[1],[2],[1],1981063,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,1
583,[1],[1],[1],[2],[1],[1],[2],[1],[1],[0],1954069,89,90,78,79,80,81,86,88,89,1,1,1,2,1,1,1,1,1,1
584,[1],[2],[1],[2],[1],[1],[1],[4],[1],[1],1997029,106,107,108,109,110,102,103,104,105,1,2,1,2,1,1,1,1,1,1
585,[1],[1],[3],[2],[2],[1],[1],[4],[1],[1],1992069,103,104,105,106,107,108,95,100,102,1,1,1,2,2,1,1,1,1,1
586,[1],[2],[2],[3],[1],[1],[1],[1],[1],[1],2010038,109,110,112,113,114,111,105,106,108,2,1,1,2,2,1,1,1,1,1
587,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],2010052,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
588,[1],[3],[2],[1],[1],[1],[2],[2],[1],[0],2000077,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
589,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1963100,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
590,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1985051,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
591,[4],[2],[2],[2],[1],[1],[1],[1],[1],[1],1971109,100,101,102,99,81,92,94,95,98,1,1,1,1,1,1,1,1,1,0
592,[1],[2],[2],[1],[1],[2],[1],[1],[2],[1],1978039,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,0
593,[2],[1],[2],[2],[1],[2],[1],[3],[1],[0],1999088,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
594,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1969011,91,78,81,94,98,92,95,99,91,1,1,1,1,1,1,1,1,1,1
595,[1],[2],[2],[1],[1],[1],[1],[1],[1],[1],1977155,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,1
596,[1],[1],[2],[1],[1],[1],[1],[1],[1],[1],2009083,109,110,112,113,114,111,105,106,108,1,1,1,2,1,1,1,1,1,1
597,[3],[1],[1],[1],[1],[1],[1],[2],[4],[1],1968112,78,81,94,98,92,95,90,91,78,1,1,1,1,1,1,1,2,1,1
598,[1],[1],[2],[1],[3],[2],[1],[2],[1],[1],1985149,98,92,95,100,101,102,103,104,105,1,1,2,1,1,2,1,2,1,1
599,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],1958016,80,93,91,78,81,94,92,90,88,2,1,1,1,1,1,1,1,1,1
600,[4],[2],[2],[1],[5],[2],[1],[1],[2],[1],2006034,108,109,110,111,112,103,105,106,107,1,2,2,1,1,2,1,1,1,1
601,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1951053,88,86,84,81,80,79,78,87,89,1,1,1,1,1,1,1,1,1,0
602,[2],[2],[1],[2],[1],[1],[2],[1],[1],[1],1989001,98,92,95,100,102,103,104,105,106,1,2,1,2,1,1,1,1,1,0
603,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2000003,107,108,109,110,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
604,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1982073,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
605,[1],[2],[1],[2],[1],[2],[3],[1],[1],[1],1971177,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,1,1,1,1
606,[2],[2],[1],[2],[2],[1],[1],[2],[1],[0],1958061,80,93,91,78,81,94,92,90,88,1,1,1,2,2,1,1,2,1,0
607,[4],[1],[4],[1],[1],[4],[4],[1],[1],[0],1990012,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,1
608,[1],[1],[2],[2],[1],[1],[1],[1],[1],[1],2012066,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
609,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2004035,104,105,106,107,108,109,110,102,103,1,1,1,1,1,1,1,1,1,1
610,[1],[1],[1],[4],[1],[4],[1],[1],[1],[0],1973134,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
611,[2],[1],[2],[1],[2],[1],[4],[2],[1],[1],1962024,81,94,92,95,90,88,96,91,78,1,2,1,1,1,1,1,2,1,1
612,[1],[1],[4],[4],[1],[4],[2],[2],[1],[0],1992079,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,2,1,1
613,[1],[1],[1],[1],[2],[2],[1],[4],[1],[1],1969140,94,98,92,95,99,100,91,78,81,1,1,1,1,1,1,1,1,1,1
614,[3],[2],[2],[2],[1],[1],[2],[2],[1],[0],2000045,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
