,Actual Vote of Justice 1,Actual Vote of Justice 2,Actual Vote of Justice 3,Actual Vote of Justice 4,Actual Vote of Justice 5,Actual Vote of Justice 6,Actual Vote of Justice 7,Actual Vote of Justice 8,Actual Vote of Justice 9,Actual Winning Party,Case IDs,Code for Justice 1,Code for Justice 2,Code for Justice 3,Code for Justice 4,Code for Justice 5,Code for Justice 6,Code for Justice 7,Code for Justice 8,Code for Justice 9,Prediction Vote of Justice 1,Prediction Vote of Justice 2,Prediction Vote of Justice 3,Prediction Vote of Justice 4,Prediction Vote of Justice 5,Prediction Vote of Justice 6,Prediction Vote of Justice 7,Prediction Vote of Justice 8,Prediction Vote of Justice 9,Prediction for Winning Party
38,[1],[2],[4],[1],[2],[4],[1],[1],[1],[1],1959120,80,93,91,78,81,94,92,90,88,1,1,1,1,2,1,1,1,1,0
39,[1],[2],[1],[2],[1],[1],[2],[1],[1],[1],1955089,89,91,78,81,90,88,80,86,79,1,1,1,2,1,1,2,1,1,1
40,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2012072,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
41,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1988131,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,0
42,[1],[3],[1],[3],[3],[1],[1],[1],[1],[1],1997096,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
43,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1976004,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
44,[1],[3],[1],[2],[1],[1],[1],[1],[2],[1],1966124,88,91,92,94,95,97,91,78,81,1,1,1,2,1,1,1,1,2,1
45,[1],[1],[1],[4],[1],[1],[4],[1],[1],[1],1974021,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
46,[1],[1],[2],[1],[2],[1],[2],[1],[1],[0],2007027,108,109,110,111,112,103,105,106,107,1,1,1,1,1,1,2,1,1,1
47,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2015016,106,108,109,110,112,113,114,111,106,1,4,1,1,1,1,1,1,1,0
48,[1],[1],[3],[3],[2],[2],[1],[1],[1],[1],1991035,103,104,105,106,107,108,95,100,102,2,1,1,1,1,1,1,1,1,0
49,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1963042,81,88,91,92,94,95,96,90,78,1,1,1,1,1,1,1,1,1,1
50,[2],[1],[2],[1],[1],[1],[2],[1],[2],[1],2003043,104,105,106,107,108,109,110,102,103,1,1,1,1,1,1,2,1,1,1
51,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1979125,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
52,[1],[1],[1],[1],[2],[1],[2],[2],[2],[1],1989047,98,92,95,100,102,103,104,105,106,1,1,1,1,2,1,1,2,2,1
53,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2002060,110,102,103,104,105,106,107,108,109,1,1,1,1,1,1,1,1,1,1
54,[1],[1],[3],[3],[1],[1],[1],[3],[3],[0],1983003,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
55,[1],[1],[1],[1],[2],[1],[1],[1],[1],[1],1960068,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
56,[1],[1],[3],[2],[1],[2],[2],[2],[1],[1],1973041,100,101,102,81,94,98,92,95,99,4,1,1,1,1,1,1,1,1,1
57,[1],[1],[1],[2],[2],[1],[2],[1],[1],[0],1950097,89,88,86,84,81,80,79,78,87,1,1,1,2,2,1,2,1,1,0
58,[1],[3],[1],[1],[1],[1],[1],[1],[1],[1],1978046,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
59,[1],[2],[1],[1],[1],[2],[1],[1],[2],[1],1963142,81,94,92,95,90,88,96,91,78,1,2,1,1,1,2,1,1,1,1
60,[1],[1],[2],[2],[1],[1],[2],[2],[1],[1],1984006,98,92,95,99,100,101,102,103,104,1,1,1,1,2,1,1,1,1,1
61,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1978073,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
62,[2],[2],[1],[1],[1],[1],[1],[2],[1],[0],1981027,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,1
